FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
British_Columbia	Manitoba	1.2640623094520764	0.4360626597044773
British_Columbia	New_Brunswick	0.13352220212735236	0.07551012850424027
British_Columbia	Nova_Scotia	0.07100178304415039	0.04162500462911528
British_Columbia	Ontario	2450.757564483837	0.9993334073991779
British_Columbia	Saskatchewan	11034.130653169199	0.9998518683109284
Manitoba	New_Brunswick	0.17654806816469137	0.09747065140910269
Manitoba	Nova_Scotia	150.58270722061786	0.9892604525423101
Manitoba	Ontario	1296.690594576736	0.9987408806428916
Manitoba	Saskatchewan	5.21763803203158	0.7614339147502129
New_Brunswick	Nova_Scotia	44141.426852416465	1.0
New_Brunswick	Ontario	230.69715658350285	0.9929637447690998
New_Brunswick	Saskatchewan	0.09026560772959542	0.052327519164537276
Nova_Scotia	Ontario	0.5448348066859514	0.24997222530829907
Nova_Scotia	Saskatchewan	0.10132381297536719	0.05836388549420435
Ontario	Saskatchewan	0.43925557354421463	0.21179128245009815
